ObservationDate,Borough,Pool,PoolID,SessionType,OpenToday,ClosedReason,OpenTime,LateOpen,LateOpenReason,PoolOpenPercent,Attendance,SupervisorCount,LifeguardCount,PEPCount,NYPDCount,MeetingTime,Incident,IncidentCount,IncidentReport,Problem,ProblemCount,Arrest,ArrestCount,ChlorineType,LiquidChlorine,TabletChlorine,OvernightSwimmers,OvernightSwimmersCheck,OvernightSwimmerNum,PressYes,Breakfasts,Lunches,Temperature,WeatherConditions
28/06/2022,B,Lindower Park Mini Pool,B329,First,true,,06/28/2022 11:00:00 AM,false,,100,34,,2,1,,,false,,,false,,false,,Tablets,,100,,,0,false,0,0,Low 70s,Sunny
28/06/2022,R,Faber Pool,R008,First,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low 70s,Sunny
28/06/2022,M,Sheltering Arms Pool,M190,First,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low 70s,Sunny
28/06/2022,R,General Douglas MacArthur Mini Pool,R067,First,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,High 70s,Sunny
28/06/2022,R,PS 14 Playground Mini Pool,R061,First,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid 70s,Sunny
28/06/2022,M,Marcus Garvey Pool,M058,First,true,,06/28/2022 11:14:00 AM,true,Lifeguards not on site,50,198,3,4,4,2,06/28/2022 10:50:00 PM,false,,,false,,false,,Liquid,505,,,,0,false,0,100,Mid 70s,Sunny
28/06/2022,X,Mapes Pool,X236,First,true,,06/28/2022 01:15:00 PM,true,Lifeguards not on site,50,55,3,2,2,2,06/28/2022 10:35:00 AM,false,,,false,,false,,Liquid,240,,,,0,false,0,40,Mid 70s,PartlyCloudySunny
28/06/2022,X,Claremont Pool,X008,First,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid 70s,Sunny
28/06/2022,X,Floating Pool,X307,First,true,,06/28/2022 11:00:00 AM,false,,50,221,2,2,2,2,06/28/2022 10:45:00 AM,false,,,false,,false,,Liquid,360,,,,0,false,0,0,Mid 70s,PartlyCloudySunny
28/06/2022,M,John Jay Pool,M045,First,true,,06/28/2022 11:00:00 AM,false,,50,193,3,2,3,2,06/28/2022 10:45:00 AM,false,,,false,,false,,Liquid,625,,,,0,false,0,125,Low 70s,Sunny
28/06/2022,M,Highbridge Pool,M037,First,true,,06/28/2022 11:45:00 AM,true,Lifeguards not on site,50,170,3,3,3,3,06/28/2022 10:30:00 AM,false,,,false,,false,,Liquid,1450,,,,0,true,0,0,High 70s,Sunny
28/06/2022,R,West Brighton Pool,R109,First,true,,06/28/2022 11:00:00 AM,false,,50,195,2,2,3,1,06/28/2022 10:50:00 PM,false,,,false,,false,,Liquid,200,,,,0,false,0,100,Low 70s,Sunny
28/06/2022,B,Commodore Barry Pool,B021,First,true,,06/28/2022 12:15:00 PM,true,"Lifeguards not on site, Other",25,84,3,1,2,2,06/28/2022 10:40:00 AM,false,,,false,,false,,Liquid,290,,,,0,false,0,0,High 70s,Sunny
28/06/2022,X,Haffen Pool,X196,First,true,,06/28/2022 11:30:00 AM,true,"PEP not on site, NYPD not on site",75,145,3,2,1,2,06/28/2022 10:30:00 AM,false,,,false,,false,,Liquid,205,,,,0,false,0,65,Low 70s,Sunny
28/06/2022,M,Hamilton Fish Pool,M033,First,true,,06/28/2022 12:00:00 PM,false,,50,396,3,7,4,2,06/28/2022 08:30:00 AM,false,,,false,,false,,Liquid,1200,,,,0,true,0,100,Mid 70s,Sunny
28/06/2022,B,Sunset Park Pool,B087,First,true,,06/28/2022 11:45:00 AM,true,Repairs,50,234,3,8,2,2,06/28/2022 11:30:00 AM,false,,,false,,false,,Liquid,600,,,,0,false,0,150,Mid 70s,Sunny
28/06/2022,B,Bushwick Pool,B310,First,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,High 60s,Sunny
28/06/2022,M,Thomas Jefferson Pool,M047,First,true,,06/28/2022 12:30:00 PM,true,Lifeguards not on site,50,253,3,7,4,2,06/28/2022 10:45:00 AM,false,,,false,,false,,Liquid,1095,,,,0,false,0,175,High 70s,Sunny
28/06/2022,M,Asser Levy Pool,M164,First,true,,06/28/2022 11:00:00 AM,false,,50,144,3,3,2,1,06/28/2022 10:00:00 PM,false,,,false,,false,,Liquid,335,,,,0,false,0,100,High 70s,PartlyCloudySunny
28/06/2022,Q,Liberty Pool,Q121,First,true,,06/28/2022 11:00:00 AM,false,,75,122,3,5,3,1,06/28/2022 10:50:00 AM,false,,,false,,false,,Liquid,284,,,,0,false,0,100,High 70s,Sunny
28/06/2022,X,Foster Pool,X034,First,true,,06/28/2022 12:00:00 PM,true,Lifeguards not on site,75,181,2,2,2,4,06/28/2022 10:30:00 AM,false,,,false,,false,,Liquid,195,,,,0,false,0,50,High 70s,Sunny
28/06/2022,Q,Astoria Pool,Q004,First,true,,06/28/2022 11:00:00 AM,false,,50,746,5,10,5,3,06/28/2022 10:30:00 AM,false,,,false,,false,,Liquid,1440,,,,0,false,0,0,Mid 70s,Sunny
28/06/2022,X,Crotona Pool,X010,First,true,,06/28/2022 12:00:00 PM,true,Lifeguards not on site,50,693,4,6,4,2,06/28/2022 11:56:00 PM,false,,,false,,false,,Liquid,885,,,,0,true,0,148,Low 80s,Sunny
28/06/2022,R,Lyons Pool,R043,First,true,,06/28/2022 11:00:00 AM,false,,75,220,2,3,6,1,06/28/2022 10:30:00 AM,false,,,false,,false,,Liquid,850,,,,0,false,0,53,High 70s,Sunny
28/06/2022,Q,Fisher Pool,Q441,First,true,,06/28/2022 11:25:00 AM,true,NYPD not on site,100,374,2,3,3,1,06/28/2022 10:45:00 AM,true,1,true,false,,false,,Liquid,210,,,,0,false,0,150,Mid 70s,Sunny
28/06/2022,Q,PS 186 Playground Mini Pool,Q327,First,true,,06/28/2022 11:30:00 AM,true,Lifeguards not on site,100,40,,1,1,,,false,,,false,,false,,Tablets,,100,,,0,false,0,0,High 70s,Sunny
28/06/2022,Q,Marie Curie Park Mini Pool,Q364,First,true,,06/28/2022 11:15:00 AM,true,Other,100,18,,1,1,,,false,,,true,1,false,,Tablets,,100,,,0,false,0,0,High 70s,Sunny
28/06/2022,B,McCarren Park Pool,B058,First,true,,06/28/2022 11:30:00 AM,true,Lifeguards not on site,50,480,2,7,4,2,06/28/2022 10:45:00 AM,false,,,false,,false,,Liquid,1800,,,,0,false,0,0,High 70s,Sunny
28/06/2022,B,Kosciuszko Pool,B351,First,true,,06/28/2022 11:00:00 AM,false,,50,507,,4,3,,,false,,,false,,false,,Liquid,630,,,,0,false,0,125,Low 80s,PartlyCloudySunny
28/06/2022,Q,Windmuller Mini Pool,Q031,First,true,,06/28/2022 01:00:00 PM,true,Lifeguards not on site,100,20,,1,1,,,false,,,true,1,false,,Tablets,,100,,,0,false,0,0,High 70s,Sunny
28/06/2022,B,Douglas and DeGraw Pool,B145,First,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid 70s,Sunny
28/06/2022,R,Tottenville Pool,R110,First,true,,06/28/2022 12:30:00 PM,true,Repairs,75,109,2,2,2,1,06/28/2022 10:45:00 PM,false,,,false,,false,,Liquid,205,,,,0,false,0,80,Low 80s,Sunny
28/06/2022,B,Red Hook Pool,B126,First,true,,06/28/2022 11:30:00 AM,true,Repairs,50,247,3,5,2,2,06/28/2022 10:45:00 PM,false,,,false,,false,,Liquid,1395,,,,0,true,0,200,Mid 70s,Sunny
28/06/2022,M,Jackie Robinson Pool,M014,First,true,,06/28/2022 11:35:00 AM,true,Lifeguards not on site,25,200,3,3,2,1,06/28/2022 10:45:00 AM,false,,,false,,false,,Liquid,730,,,,0,false,0,130,Mid 80s,Sunny
28/06/2022,B,Howard Pool,B260A,First,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,High 70s,Sunny
28/06/2022,X,Van Cortlandt Pool,X092,First,true,,06/28/2022 01:15:00 PM,true,Other,50,113,4,2,4,2,06/28/2022 10:40:00 AM,false,,,false,,false,,Liquid,635,,,,0,false,0,100,Low 70s,Sunny
28/06/2022,B,PS 20 Playground Mini Pool,B253,First,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,High 70s,Sunny
28/06/2022,B,JHS 57 / HS 26 Mini Pool,B269,First,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,High 70s,Sunny
28/06/2022,R,PS 46 Playground Mini Pool,R063,First,true,,06/28/2022 11:30:00 AM,true,Other,100,28,,1,2,,,false,,,false,,false,,Tablets,,100,,,0,false,0,0,High 70s,Sunny
28/06/2022,B,David Fox / PS 251 Mini Pool,B248,First,true,,06/28/2022 11:00:00 AM,false,,100,50,,1,1,,,false,,,false,,false,,Tablets,,40,,,0,false,0,0,High 70s,Sunny
