week,monthname,category_1,category_2,month,year
26 (6),Opening Week 2023,0,0,6,2023
26 (7),July,0,0,7,2023
27 (7),July,2,0,7,2023
28 (7),July,0,0,7,2023
29 (7),July,0,2,7,2023
30 (7),July,0,2,7,2023
31 (7),July,0,0,7,2023
31 (8),August,0,1,8,2023
32 (8),August,0,4,8,2023
33 (8),August,0,0,8,2023
34 (8),August,2,4,8,2023
35 (8),August,0,2,8,2023
35 (9),September,0,0,9,2023
36 (9),September,0,0,9,2023
26 (6),Opening Week 2024,0,0,6,2024
27 (7),July,0,3,7,2024
28 (7),July,1,7,7,2024
29 (7),July,0,4,7,2024
30 (7),July,1,3,7,2024
31 (7),July,0,4,7,2024
31 (8),August,0,3,8,2024
32 (8),August,0,2,8,2024
33 (8),August,0,4,8,2024
34 (8),August,0,0,8,2024
35 (8),August,0,3,8,2024
35 (9),September,0,0,9,2024
36 (9),September,0,0,9,2024
