Pool,Borough_Name,category_1,category_2,total_incidents
Abe Lincoln Mini,Manhattan,1,0,1
Asser Levy,Manhattan,0,0,0
Astoria,Queens,0,5,5
Betsy Head,Brooklyn,0,0,0
Bushwick,Brooklyn,1,2,3
Claremont,Bronx,0,2,2
Commodore Barry,Brooklyn,0,0,0
Crotona,Bronx,0,5,5
David Fox / PS 251 Mini,Brooklyn,0,0,0
Douglas and DeGraw,Brooklyn,0,2,2
Dry Dock,Manhattan,0,0,0
Edenwald Houses Mini,Bronx,0,0,0
Faber,Staten Island,0,3,3
Fisher,Queens,0,2,2
Floating,Bronx,0,0,0
Foster,Bronx,0,0,0
Frederick Douglass Mini,Manhattan,0,0,0
General Douglas MacArthur Mini,Staten Island,0,0,0
Glenwood Houses Mini,Brooklyn,0,0,0
Haffen,Bronx,0,2,2
Hamilton Fish,Manhattan,0,0,0
Highbridge,Manhattan,0,0,0
Howard,Brooklyn,0,4,4
JHS 57 / HS 26 Mini,Brooklyn,0,1,1
Jackie Robinson,Manhattan,0,0,0
John Jay,Manhattan,0,0,0
Kosciuszko,Brooklyn,0,0,0
Liberty,Queens,0,3,3
Lindower Park Mini,Brooklyn,0,0,0
Lyons,Staten Island,0,0,0
Mapes,Bronx,1,3,4
Marcus Garvey,Manhattan,1,0,1
Marie Curie Park Mini,Queens,0,0,0
McCarren Park,Brooklyn,0,0,0
PS 14 Playground Mini,Staten Island,2,0,2
PS 186 Playground Mini,Queens,0,0,0
PS 20 Playground Mini,Brooklyn,0,0,0
PS 46 Playground Mini,Staten Island,0,0,0
Red Hook,Brooklyn,0,9,9
Sheltering Arms,Manhattan,0,0,0
Sunset Park,Brooklyn,0,0,0
Thomas Jefferson,Manhattan,0,0,0
Thompson Mini,Bronx,0,0,0
Tompkins Square Mini,Manhattan,0,0,0
Totten,Queens,0,1,1
Tottenville,Staten Island,0,0,0
Van Cortlandt,Bronx,0,2,2
Vesuvio Mini,Manhattan,0,0,0
Wagner,Manhattan,0,0,0
West Brighton,Staten Island,0,2,2
Windmuller Mini,Queens,1,0,1
