Prop_ID,Name,Location,Phone,POOLTYPE,Setting,Size,Accessible,lat,lon,rec_center_id,Borough_Code,Borough_Name,cubic_feet
M037,Highbridge,Amsterdam Ave. and W. 173rd Street,(212) 927-2400,Olympic,Outdoor,220' x 162' x 10.5',Y,40.8426,-73.9339,,M,Manhattan,374220.0
B008,Betsy Head,"Boyland, Livonia and Dumont Avenues",(718) 257-1635/6,Olympic,Outdoor,330' x 165' x 4.25,Y,40.6629,-73.9127,,B,Brooklyn,231412.5
B058,McCarren,McCarren Park,(718) 218-2380,Olympic,Outdoor,329' x 151' x 4.6',Y,40.7201,-73.9495,,B,Brooklyn,228523.4
Q004,Astoria,19th Street and 23rd Drive,(718) 626-8620,Olympic,Outdoor,330' x 165' x 4',Y,40.7788,-73.9227,,Q,Queens,217800.0
B126,Red Hook,Bay and Henry Streets,(718) 722-3211,Olympic,Outdoor,330' x 130' x 4',Y,40.6727,-74.0039,B126,B,Brooklyn,171600.0
X010,Crotona,173rd Street and Fulton Avenue,(718) 731-6872,Olympic,Outdoor,330' x 120' x 4',Y,40.8399,-73.8981,X010,X,Bronx,158400.0
B087,Sunset Park,Seventh Avenue between 41st and 44th Streets,(718) 972-2180,Olympic,Outdoor,259' x 162' x 3.5',Y,40.6472,-74.0026,B087,B,Brooklyn,146853.0
M047,Thomas Jefferson,E. 112th Street and First Avenue,(212) 860-1372,Olympic,Outdoor,239' x 97' x 4',Y,40.7933,-73.9359,,M,Manhattan,92732.0
B351,Kosciuszko,Marcy Avenue between DeKalb Avenue & Kosciuszko Street,(718) 622-5271,Olympic,Outdoor,230' x 100' x 4',Y,40.6912,-73.9496,,B,Brooklyn,92000.0
M014,Jackie Robinson,Bradhurst Avenue and W. 146th Street,(212) 234-9606,Olympic,Outdoor,235' x 82' x 3.5',Y,40.8242,-73.9428,M014,M,Manhattan,67445.0
X092,Van Cortlandt,W. 242nd St. and Broadway,(718) 548-2415,Olympic,Outdoor,164' x 104' x 3.6',Y,40.8904,-73.896,,X,Bronx,61401.6
R043,Lyons,Pier 6 and Victory Boulevard,(718) 816-5255,Olympic,Outdoor,165' x 100' x 3.5',Y,40.6369,-74.0743,R043-NMD01,R,Staten Island,57750.0
M033,Hamilton Fish,Pitt Street and Houston Street,(212) 387-7691,Olympic,Outdoor,165' x 98' x 3.5',Y,40.7197,-73.9805,M033,M,Manhattan,56595.0
R008,Faber,Faber Street and Richmond Terrace,(718) 816-5259,Intermediate,Outdoor,140' x 76' x 5',Y,40.6412,-74.1353,,R,Staten Island,53200.0
M058,Marcus Garvey,124th Street and Fifth Avenue,(212) 410-2818,Intermediate,Outdoor,165' x 75' x 4',Y,40.8052,-73.9434,,M,Manhattan,49500.0
M103,Tony Dapolito Outdoor,Clarkson St. and Seventh Ave. South,(646) 300-2271,Intermediate,Outdoor,100' x 50' x 9',Y,40.7296,-74.0054,,M,Manhattan,45000.0
M037,Highbridge,Amsterdam Ave. and W. 173rd Street,(212) 927-2400,Wading,Outdoor,220' x 92' x 2',N,40.8424,-73.9334,,M,Manhattan,40480.0
M045,John Jay,East of York Avenue on 77th St.,(646) 522-1538,Intermediate,Outdoor,145' x 49' x 4',Y,40.7696,-73.949,,M,Manhattan,28420.0
M164,Asser Levy,Asser Levy Place and E. 23rd Street,(212) 447-2020,Intermediate,Outdoor,120' x 45' x 4',Y,40.7358,-73.9754,M164,M,Manhattan,21600.0
M045,John Jay,East of York Avenue on 77th St.,(646) 522-1538,Diving,Outdoor,60' x 40' x 8',N,40.7694,-73.9489,,M,Manhattan,19200.0
X307,Floating,Tiffany Street & Viele Avenue,(646) 831-6759,Intermediate,Outdoor,82' x 52' x 4',Y,40.8044,-73.8889,X307,X,Bronx,17056.0
M033,Hamilton Fish,Pitt Street and Houston Street,(212) 387-7691,Wading,Outdoor,67' x 98' x 2.5',N,40.7198,-73.981,M033,M,Manhattan,16415.0
X196,Haffen,Ely and Burke Avenues,(718) 379-2908,Intermediate,Outdoor,75' x 60' x 3.5',Y,40.8743,-73.8392,,X,Bronx,15750.0
X008,Claremont,170th Street and Clay Avenue,(718) 901-4792,Intermediate,Outdoor,75' x 60' x 3.5',Y,40.839,-73.9073,,X,Bronx,15750.0
X289,Mapes,E. 180th Street between Mapes &amp; Prospect Avenues,(718) 364-8876,Intermediate,Outdoor,75' x 60' x 3.5',Y,40.8465,-73.886,,X,Bronx,15750.0
Q441,Fisher,99th Street and 32nd Avenue,(718) 779-8356,Intermediate,Outdoor,75' x 60' x 3.5',Y,40.7589,-73.8696,,Q,Queens,15750.0
M190,Sheltering Arms,W. 129th Street and Amsterdam Ave.,(212) 662-6191,Intermediate,Outdoor,75' x 60' x 3.5',Y,40.8148,-73.9557,,M,Manhattan,15750.0
R110,Tottenville,Hylan Boulevard and Joline Avenue,(718) 356-8242,Intermediate,Outdoor,75' x 60' x 3.5',Y,40.5056,-74.2352,,R,Staten Island,15750.0
X034,Foster,E. 164th St. bet. Jerome &amp; River Aves.,(646) 678-1938,Intermediate,Outdoor,75' x 60' x 3.5',Y,40.8317,-73.9243,X034,X,Bronx,15750.0
M273,Wagner,E. 124th Street between First and Second Avenues,(212) 534-4238,Intermediate,Outdoor,75' x 60' x 3.5',Y,40.802,-73.933,,M,Manhattan,15750.0
R109,West Brighton,Henderson Avenue between Broadway and Chappel Streets,(718) 816-5019,Intermediate,Outdoor,75' x 60' x 3.5',Y,40.6371,-74.1193,,R,Staten Island,15750.0
M103,Tony Dapolito Outdoor,Clarkson St. and Seventh Ave. South,(646) 300-2271,Diving,Outdoor,35' x 47' x 9',N,40.7296,-74.0054,M103,M,Manhattan,14805.0
B260,Howard,"Glenmore and Mother Gaston Blvd., East New York Avenue",(718) 385-1023,Intermediate,Outdoor,75' x 60' x 3',Y,40.6727,-73.9089,,B,Brooklyn,13500.0
Q121,Liberty,173rd Street and 106th Avenue,(718) 657-4995,Intermediate,Outdoor,75' x 60' x 3',Y,40.7016,-73.7839,,Q,Queens,13500.0
B310,Bushwick,"Humboldt Street, Flushing &amp; Bushwick Avenues",(718) 452-2116,Intermediate,Outdoor,75' x 60' x 3',Y,40.7019,-73.9398,,B,Brooklyn,13500.0
B021,Commodore Barry,"Flushing and Park Avenues, Navy and North Elliot Streets",(718) 243-2593,Intermediate,Outdoor,75' x 60' x 3',Y,40.6976,-73.9782,,B,Brooklyn,13500.0
